
Au	Австралия
At	Австрия
Az	Азербайджан
Ax	Аландские острова
Al	Албания
Dz	Алжир
Ai	Ангилья
Ao	Ангола
Ad	Андорра
Aq	Антарктика
Ag	Антигуа и Барбуда
Ar	Аргентина
Am	Армения
Aw	Аруба
Af	Афганистан
Bs	Багамы
Bd	Бангладеш
Bb	Барбадос
Bh	Бахрейн
By	Беларусь
Bz	Белиз
Be	Бельгия
Bj	Бенин
Bm	Бермудские острова
Bg	Болгария
Bo	Боливия
Ba	Босния и Герцеговина
Bw	Ботсвана
Br	Бразилия
Vg	Британские Виргинские острова
Bn	Бруней
Bf	Буркина Фасо
Bi	Бурунди
Bt	Бутан
Vu	Вануату
Va	Ватикан
Gb	Великобритания
Hu	Венгрия
Ve	Венесуэла
Vi	Виргинские острова
Ac	Вознесения остров
Vn	Вьетнам
Ga	Габон
Ht	Гаити
Gy	Гайяна
Gm	Гамбия
Gh	Гана
Gp	Гваделупа
Gt	Гватемала
Gn	Гвинея
Gw	Гвинея-Бисау
De	Германия
Gi	Гибралтар
Hn	Гондурас
Hk	Гонконг
Gd	Гренада
Gl	Гренландия
Gr	Греция
Ge	Грузия
Gu	Гуам
Dk	Дания
Dj	Джибути
Dm	Доминика
Do	Доминиканская республика
Eg	Египет
Zm	Замбия
Zw	Зимбабве
Il	Израиль
In	Индия
Id	Индонезия
Jo	Иордания
Iq	Ирак
Ir	Иран
Ie	Ирландия
Is	Исландия
Es	Испания
It	Италия
Ye	Йемен
Cv	Кабо-Верде
Kz	Казахстан
Ky	Каймановы острова
Kh	Камбоджа
Cm	Камерун
Ca	Канада
Qa	Катар
Ke	Кения
Cy	Кипр
Kg	Киргизия
Ki	Кирибати
Cn	Китай
Kp	КНДР
Cc	Кокосовые острова
Co	Колумбия
Km	Коморы
Cd	Конго (ДР)
Cg	Конго (Республика)
Kr	Корея Южная
Cr	Коста-Рика
Ci	Кот Д'Ивуар
Cu	Куба
Kw	Кувейт
Ck	Кука острова
La	Лаос
Lv	Латвия
Ls	Лесото
Lr	Либерия
Lb	Ливан
Ly	Ливия
Lt	Литва
Li	Лихтенштейн
Lu	Люксембург
Mu	Маврикий
Mr	Мавритания
Mg	Мадагаскар
Yt	Майотта остров
Mo	Макао
Mk	Македония
Mw	Малави
My	Малайзия
Ml	Мали
Mv	Мальдивские острова
Mt	Мальта
Ma	Марокко
Mq	Мартиника
Mh	Маршалловы острова
Mx	Мексика
Fm	Микронезия
Mz	Мозамбик
Md	Молдавия
Mc	Монако
Mn	Монголия
Ms	Монтсеррат
Mm	Мьянма
Na	Намибия
Np	Непал
Ne	Нигер
Ng	Нигерия
Nl	Нидерланды
Ni	Никарагуа
Nu	Ниуэ, остров
Nz	Новая Зеландия
Nc	Новая Каледония
No	Норвегия
Nf	Норфолк, остров
Ae	ОАЕ
Om	Оман
Pk	Пакистан
Pw	Палау
Ps	Палестина
Pa	Панама
Pg	Папуа - Новая Гвинея
Py	Парагвай
Pe	Перу
Pn	Питкэрн, остров
Pl	Польша
Pt	Португалия
Pr	Пуэрто-Рико
Re	Реюньон
Cx	Рождества остров
Ru	Россия
Rw	Руанда
Ro	Румыния
Sv	Сальвадор
Ws	Самоа
As	Самоа Американское
Sm	Сан Марино
St	Сан Томе и Принсипе
Sa	Саудовская Аравия
Sz	Свазиленд
Sh	Святой Елены остров
Mp	Северные Марианские острова
Sc	Сейшелы
Bl	Сен-Бартелеми
Mf	Сен-Мартен
Pm	Сен-Пьер и Микелон
Sn	Сенегал
Vc	Сент-Винсент и Гренадины
Kn	Сент-Китс и Невис
Lc	Сент-Люсия
Rs	Сербия
Sg	Сингапур
Sy	Сирия
Sk	Словакия
Si	Словения
Sb	Соломоновы Острова
So	Сомали
Sd	Судан
Sr	Суринам
Us	США
Sl	Сьерра-Леоне
Tj	Таджикистан
Th	Таиланд
Tw	Тайвань
Tz	Танзания
Tc	Теркс и Кайкос
Tg	Того
Tk	Токелау острова
To	Тонга острова
Tt	Тринидад и Тобаго
Tv	Тувалу
Tn	Тунис
Tm	Туркменистан
Tr	Турция
Ug	Уганда
Uz	Узбекистан
Ua	Украина
Wf	Уоллис и Футуна острова
Uy	Уругвай
Fo	Фарерские острова
Fj	Фиджи
Ph	Филиппины
Fi	Финляндия
Fk	Фолклендские острова
Fr	Франция
Pf	Французская Полинезия
Hm	Херд и Макдональд острова
Hr	Хорватия
Cf	Центральноафриканская республика
Td	Чад
Me	Черногория
Cz	Чешская Республика
Cl	Чили
Ch	Швейцария
Se	Швеция
Lk	Шри Ланка
Ec	Эквадор
Gq	Экваториальная Гвинея
Er	Эритрея
Ee	Эстония
Et	Эфиопия
Za	ЮАР
Gs	Южная Георгия и Ю.Сандвичевы о-ва
Jm	Ямайка
Jp	Япония
